points,pos,min,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,comment
17,PG,16:58,7,13,53.8,0,0,0.0,3,8,37.5,0,5,5,2,1,0,4,1,-2,None
6,PG,13:05,1,7,14.3,3,3,100,1,4,25.0,0,3,3,2,0,0,4,0,-2,None
33,PG,33,10,22,45.5,9,9,100.0,4,13,30.8,1,5,6,7,1,4,4,1,+20,None
24,PG,25,9,18,50.0,4,4,100.0,2,8,25.0,0,4,4,4,1,0,3,0,+6,None
34,PG,36,10,22,45.5,9,9,100.0,5,11,45.5,1,4,5,4,2,0,3,0,+9,None
33,PG,31,11,22,50.0,4,4,100.0,7,12,58.3,0,5,5,2,3,1,2,0,+19,None
21,PG,30,7,17,41.2,3,5,60.0,4,9,44.4,0,7,7,8,1,1,1,0,-17,None
33,PG,37,13,22,59.1,0,0,0,7,14,50.0,1,6,7,9,0,1,3,0,+13,None
31,PG,39,10,22,45.5,8,8,100.0,3,13,23.1,0,11,11,6,5,1,2,0,-6,None
32,PG,35,10,24,41.7,8,9,88.9,4,14,28.6,0,6,6,3,1,2,1,0,-12,None
23,PG,35,7,14,50.0,5,5,100.0,4,10,40.0,4,9,13,13,3,1,5,0,+3,None
39,PG,38,13,22,59.1,5,5,100.0,8,15,53.3,1,2,3,9,3,0,5,0,+4,None
47,PG,38,17,24,70.8,6,7,85.7,7,12,58.3,0,8,8,8,2,0,0,0,+20,None
40,PG,34,15,23,65.2,4,6,66.7,6,11,54.5,0,4,4,5,4,1,2,0,+7,None
27,PG,37,9,17,52.9,6,6,100.0,3,9,33.3,0,6,6,4,0,1,4,0,0,None
16,PG,27,5,11,45.5,3,3,100.0,3,7,42.9,1,4,5,5,1,1,1,0,+17,None
50,PG,36,17,28,60.7,9,9,100.0,7,11,63.6,0,9,9,6,2,0,3,1,-14,None
24,PG,34,9,19,47.4,1,3,33.3,5,13,38.5,0,6,6,10,2,2,5,0,+18,None
33,PG,37,11,20,55.0,4,5,80.0,7,14,50.0,0,6,6,15,3,3,1,2,+22,None
22,PG,32,9,20,45.0,0,0,0,4,10,40.0,1,5,6,9,0,0,1,0,+18,None
33,PG,36,13,23,56.5,1,1,100.0,6,13,46.2,0,5,5,4,4,2,5,0,+19,None
25,PG,33,7,17,41.2,7,7,100.0,4,11,36.4,1,10,11,8,1,1,7,0,+22,None
32,PG,38,11,24,45.8,5,6,83.3,5,14,35.7,1,4,5,5,4,0,4,0,-12,None
19,PG,33,6,16,37.5,3,3,100.0,4,8,50.0,0,11,11,6,5,0,6,1,-1,None
30,PG,35,10,21,47.6,2,3,66.7,8,17,47.1,0,3,3,10,0,1,4,1,+19,None
12,PG,38,3,17,17.6,4,4,100.0,2,10,20.0,0,4,4,6,2,1,3,0,-17,None
32,PG,37,12,21,57.1,2,2,100.0,6,11,54.5,1,5,6,7,3,0,4,1,+20,None
20,PG,27,6,17,35.3,5,5,100.0,3,10,30.0,2,4,6,1,0,1,2,1,-20,None
