RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
,Joel EmbiidPHI,C,68,33.8,30.6,9.8,19.6,49.9,1.4,3.7,37.1,9.6,11.8,81.4,11.7,4.2,1.1,1.5,3.1,46,2,31.24
,LeBron JamesLAL,SF,56,37.2,30.3,11.4,21.8,52.4,2.9,8.0,35.9,4.5,6.0,75.6,8.2,6.2,1.3,1.1,3.5,21,6,26.25
,Giannis AntetokounmpoMIL,PF,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,11.6,5.8,1.1,1.4,3.3,46,4,32.12
,Kevin DurantBKN,PF,55,37.2,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91.0,7.4,6.4,0.9,0.9,3.5,18,4,25.69
,Luka DoncicDAL,PG,65,35.4,28.4,9.9,21.6,45.7,3.1,8.8,35.3,5.6,7.5,74.4,9.1,8.7,1.2,0.6,4.5,44,10,25.13
,Trae YoungATL,PG,76,34.9,28.4,9.4,20.3,46.0,3.1,8.0,38.2,6.6,7.3,90.4,3.7,9.7,0.9,0.1,4.0,42,0,25.48
,DeMar DeRozanCHI,SF,76,36.1,27.9,10.2,20.2,50.4,0.7,1.9,35.2,6.8,7.8,87.7,5.2,4.9,0.9,0.3,2.4,6,0,23.13
,Kyrie IrvingBKN,PG,29,37.7,27.4,10.0,21.2,46.9,3.4,8.2,41.8,4.1,4.4,91.5,4.4,5.8,1.4,0.6,2.5,2,0,21.49
,Ja MorantMEM,PG,57,33.1,27.4,10.2,20.6,49.3,1.5,4.5,34.4,5.5,7.3,76.1,5.7,6.7,1.2,0.4,3.4,10,1,24.53
,Nikola JokicDEN,C,74,33.5,27.1,10.3,17.7,58.3,1.3,3.9,33.7,5.1,6.3,81.0,13.8,7.9,1.5,0.9,3.8,66,19,32.94
,Jayson TatumBOS,SF,76,35.9,26.9,9.3,20.6,45.3,3.0,8.6,35.3,5.3,6.2,85.3,8.0,4.4,1.0,0.6,2.9,22,0,21.87
,Devin BookerPHX,SG,68,34.5,26.8,9.7,20.9,46.6,2.7,7.0,38.3,4.6,5.3,86.8,5.0,4.8,1.1,0.4,2.4,5,0,21.38
,Donovan MitchellUTAH,SG,67,33.8,25.9,9.2,20.5,44.8,3.5,9.8,35.5,4.0,4.7,85.3,4.2,5.3,1.5,0.2,3.0,3,0,21.64
,Stephen CurryGS,PG,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38.0,4.3,4.7,92.3,5.2,6.3,1.3,0.4,3.2,12,2,21.47
,Karl-Anthony TownsMIN,C,74,33.4,24.6,8.7,16.4,52.9,2.0,4.9,41.0,5.2,6.3,82.2,9.8,3.6,1.0,1.1,3.1,40,1,24.21
,Shai Gilgeous-AlexanderOKC,PG,56,34.7,24.5,8.5,18.8,45.3,1.6,5.3,30.0,5.9,7.2,81.0,5.0,5.9,1.3,0.8,2.8,6,1,20.99
,Zach LaVineCHI,SG,67,34.7,24.4,8.4,17.7,47.6,2.8,7.1,38.9,4.8,5.6,85.3,4.6,4.5,0.6,0.3,2.6,0,0,20.08
,Paul GeorgeLAC,SG,31,34.7,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,6.9,5.7,2.2,0.4,4.1,7,0,18.67
,Damian LillardPOR,PG,29,36.4,24.0,7.7,19.0,40.2,3.2,9.8,32.4,5.5,6.2,87.8,4.1,7.3,0.6,0.4,2.9,8,0,18.53
,Jaylen BrownBOS,SG,66,33.6,23.6,8.7,18.4,47.3,2.5,7.0,35.8,3.7,4.8,75.8,6.1,3.5,1.1,0.3,2.7,11,2,18.98
,Bradley BealWSH,SG,40,36.0,23.2,8.7,19.3,45.1,1.6,5.3,30.0,4.2,5.1,83.3,4.7,6.6,0.9,0.4,3.4,4,0,17.58
,Anthony DavisLAL,PF,40,35.1,23.2,9.3,17.4,53.2,0.3,1.8,18.6,4.4,6.1,71.3,9.9,3.1,1.2,2.3,2.1,19,0,23.97
,De'Aaron FoxSAC,PG,59,35.3,23.2,8.7,18.5,47.3,1.3,4.2,29.7,4.4,5.9,75.0,3.9,5.6,1.2,0.4,2.8,5,0,17.49
